datetime,ax,ay,az
2026/4/18 19:52:31.4866,0.635700,0.062400,0.834600
2026/4/18 19:52:31.4966,0.635700,0.058500,0.838500
2026/4/18 19:52:31.5066,0.635700,0.062400,0.830700
2026/4/18 19:52:31.5166,0.635700,0.054600,0.834600
2026/4/18 19:52:31.5266,0.639600,0.058500,0.834600
2026/4/18 19:52:31.5366,0.635700,0.058500,0.834600
2026/4/18 19:52:31.5466,0.631800,0.058500,0.830700
2026/4/18 19:52:31.5566,0.635700,0.054600,0.838500
2026/4/18 19:52:31.5666,0.631800,0.058500,0.834600
2026/4/18 19:52:31.5766,0.635700,0.054600,0.834600
2026/4/18 19:52:31.5866,0.635700,0.054600,0.830700
2026/4/18 19:52:31.5966,0.635700,0.058500,0.834600
2026/4/18 19:52:31.6066,0.635700,0.058500,0.838500
2026/4/18 19:52:31.6166,0.635700,0.058500,0.838500
2026/4/18 19:52:31.6266,0.635700,0.062400,0.834600
2026/4/18 19:52:31.6366,0.635700,0.062400,0.834600
2026/4/18 19:52:31.6466,0.631800,0.062400,0.834600
2026/4/18 19:52:31.6566,0.631800,0.058500,0.838500
2026/4/18 19:52:31.6666,0.635700,0.058500,0.834600
2026/4/18 19:52:31.6766,0.627900,0.058500,0.826800
2026/4/18 19:52:31.7986,0.631800,0.058500,0.834600
2026/4/18 19:52:31.8086,0.639600,0.058500,0.830700
2026/4/18 19:52:31.8186,0.639600,0.058500,0.834600
2026/4/18 19:52:31.8286,0.639600,0.054600,0.834600
2026/4/18 19:52:31.8386,0.631800,0.058500,0.834600
2026/4/18 19:52:31.8486,0.635700,0.062400,0.834600
2026/4/18 19:52:31.8586,0.631800,0.058500,0.830700
2026/4/18 19:52:31.8686,0.631800,0.058500,0.834600
2026/4/18 19:52:31.8786,0.635700,0.058500,0.838500
2026/4/18 19:52:31.8886,0.631800,0.062400,0.834600
2026/4/18 19:52:31.8986,0.635700,0.058500,0.830700
2026/4/18 19:52:31.9086,0.631800,0.062400,0.830700
2026/4/18 19:52:31.9186,0.635700,0.058500,0.830700
2026/4/18 19:52:31.9286,0.631800,0.054600,0.830700
2026/4/18 19:52:31.9386,0.635700,0.062400,0.834600
2026/4/18 19:52:31.9486,0.635700,0.054600,0.834600
2026/4/18 19:52:31.9586,0.635700,0.058500,0.834600
2026/4/18 19:52:31.9686,0.635700,0.054600,0.830700
2026/4/18 19:52:31.9786,0.639600,0.058500,0.842400
2026/4/18 19:52:31.9886,0.627900,0.058500,0.842400
2026/4/18 19:52:32.1106,0.635700,0.054600,0.826800
2026/4/18 19:52:32.1206,0.635700,0.058500,0.842400
2026/4/18 19:52:32.1306,0.635700,0.062400,0.838500
